,fit_time,score_time,test_accuracy_score,test_cross_entropy_loss,test_average_precision_score,test_cohen_kappa_score,test_f1_score,test_recall_score,test_roc_auc_score,test_specificity_score
SVC(C=1),36.72229812145233,1.4931819677352904,0.7569617835746468,8.759985233144668,0.7056704108157729,0.5143223844243788,0.7567920050043776,0.7569617835746468,0.7574405266536023,0.7860014065624932
"SVC(C=1, gamma='auto')",35.0961394071579,1.355102801322937,0.7594943379144004,8.668702722333489,0.7090423893699042,0.5194484434795561,0.7592979555375533,0.7594943379144004,0.7600442308578829,0.7928840391786262
