,fit_time,score_time,test_accuracy_score,test_cohen_kappa_score,test_f1_score,test_recall_score
KNeighborsClassifier(n_neighbors=1),3.084662001132965,0.060105221271514894,0.6045176470588235,0.29292786900423756,0.6037689733592998,0.6045176470588235
"DecisionTreeClassifier(criterion='entropy', max_depth=20)",7.241379354000092,0.012131617069244385,0.517321568627451,0.1401885012992085,0.5177458793223948,0.517321568627451
"RandomForestClassifier(criterion='entropy', max_depth=20, max_features=1,
                       n_estimators=10)",3.2331606578826904,0.022157936096191405,0.5458941176470588,0.11135732966017202,0.5110193820767912,0.5458941176470588
