,fit_time,score_time,test_accuracy_score,test_cohen_kappa_score,test_f1_score,test_recall_score
KNeighborsClassifier(n_neighbors=1),0.2292923792330144,0.01253333126849908,0.072056995681766,0.12182483763797267,0.07037141526958157,0.072056995681766
"DecisionTreeClassifier(criterion='entropy', max_depth=20)",0.5341113605074896,0.0035105935265160432,0.06647663932200444,0.11264480998147959,0.06536548510442636,0.06647663932200444
"RandomForestClassifier(criterion='entropy', max_depth=20, max_features=1,
                       n_estimators=10)",0.25604606131670066,0.00595359961877447,0.05665855033808154,0.1121848649057103,0.05897658051320239,0.05665855033808154
